category,name,description,unit_price,unit_of_measure,kind,taxable,sort_order,notes,AI description,,
General Landscaping,Blackberry Removal,"Cutback and removal of invasive blackberry growth from yards, fence lines, slopes, and overgrown areas.",2,sq ft,labor,yes,30,,,
General Landscaping,Invasive Species Removal,Removal of invasive plants that spread aggressively and compete with desired landscaping.,2,sq ft,labor,yes,40,,,
General Landscaping,Landscape Inspection Service,"Professional inspection of landscape conditions to identify maintenance needs, safety concerns, and improvement options.",2,sq ft,labor,yes,50,,,
General Landscaping,Roof Inspection,"Detailed inspection of roofing systems to identify leaks, damage, wear, and maintenance concerns.",2,sq ft,labor,yes,60,,,
General Landscaping,Roof Moss Removal,Treatment and removal of moss growth from roofing surfaces to help prevent long-term damage.,2,sq ft,labor,yes,70,,,
General Landscaping,Roof Leak Detection,"Inspection service to locate active roof leaks, moisture intrusion, and problem areas.",2,sq ft,labor,yes,80,,,
General Landscaping,Roof Repair,"Repair of damaged roofing components, including shingles, flashing, vents, and sealants.",2,sq ft,labor,yes,90,,,
General Landscaping,Roof Replacement,"Complete removal and replacement of existing roofing materials, including labor and installation.",2,sq ft,labor,yes,100,,,
General Landscaping,Roof Tune-Up,"Minor roof maintenance service including inspections, sealing, and small corrective repairs.",2,sq ft,labor,yes,110,,,
General Landscaping,Roof Flashing Repair,"Repair and replacement of roof flashing around penetrations, valleys, and transitions.",2,sq ft,labor,yes,120,,,
General Landscaping,Roof Vent Replacement,Replacement of damaged or aging roof vents to improve attic ventilation and airflow.,2,sq ft,labor,yes,130,,,
General Landscaping,Roof Sealant Application,Application of roofing sealants to help protect vulnerable roof areas from moisture intrusion.,2,sq ft,labor,yes,140,,,
General Landscaping,Downspout Repair,Repair and adjustment of damaged or disconnected downspouts.,2,sq ft,labor,yes,150,,,
General Landscaping,Landscape Design,"Custom landscape design services including layout planning, plant selection, and hardscape concepts.",2,sq ft,service,yes,160,,,
General Landscaping,Fence Installation,"Installation of wood, vinyl, chain link, and decorative fencing systems.",2,job,service,yes,170,,,
General Landscaping,Fence Repair,"Repair of damaged fence panels, posts, gates, and structural components.",2,sq ft,labor,yes,180,,,
General Landscaping,Bird Deterrent Installation,Installation of bird deterrent systems to reduce nesting and property damage.,2,job,service,yes,190,,,
Turf Care,Sod Installation,"Delivery and installation of sod, including soil preparation and placement of new turf for immediate lawn coverage.",2,sq ft,materials,yes,10,,,
Turf Care,Lawn Aeration,"Aeration service that opens compacted soil to improve airflow, water movement, and root development in turf areas.",2,sq ft,labor,yes,20,,,
Turf Care,Fertilization and Pest Control,Comprehensive fertilization and pest control services for lawns and gardens.,2,sq ft,materials,yes,30,,,
Turf Care,Lawn Mowing,"Routine mowing of turf areas, including trimming around obstacles and cleanup of clippings from hard surfaces.",2,sq ft,labor,yes,40,,,
Turf Care,Weekly Lawn Maintenance,"Weekly turf maintenance service to keep grass consistently cut, edged, and presentable throughout the growing season.",2,sq ft,labor,yes,50,,,
Turf Care,Biweekly Lawn Maintenance,"Biweekly lawn maintenance for properties that need regular mowing, trimming, and basic turf upkeep on a set schedule.",2,sq ft,labor,yes,60,,,
Turf Care,Lawn Edging,"Clean edging along sidewalks, driveways, curbs, and landscape beds to create sharp borders around turf areas.",2,ft,labor,yes,70,,,
Turf Care,Lawn Blowing,"Blowing of grass clippings, leaves, and light debris from driveways, walkways, patios, and other hard surfaces.",2,sq ft,labor,yes,80,,,
Turf Care,Artificial Turf Installation,"Installation of synthetic turf, including base preparation, turf placement, trimming, and finishing.",2,sq ft,labor,yes,90,,,
Turf Care,Lawn Striping,Decorative mowing pattern service that creates clean stripes across turf areas for a more polished lawn appearance.,2,ft,labor,yes,100,,,
Turf Care,Overgrown Lawn Cleanup,"Cutback and cleanup of heavily overgrown grass, weeds, and edges to restore the lawn to a manageable condition.",2,sq ft,labor,yes,110,,,
Turf Care,Lawn Scalping,Low-cut seasonal mowing service used to remove excess turf height and prepare the lawn for renovation or new growth.,2,sq ft,labor,yes,120,,,
Turf Care,Lawn Restoration,"Restoration of stressed or damaged lawn areas through cleanup, soil improvement, reseeding, and turf recovery work.",2,sq ft,labor,yes,130,,,
Turf Care,Lawn Renovation,"Comprehensive lawn improvement service for thin, patchy, or unhealthy turf, including preparation and corrective treatments.",2,sq ft,labor,yes,140,,,
Turf Care,Core Aeration,Mechanical removal of small soil plugs from the lawn to reduce compaction and promote stronger grass growth.,2,sq ft,labor,yes,150,,,
Turf Care,Spike Aeration,Aeration using spikes to create openings in the soil and improve water and nutrient movement into the root zone.,2,sq ft,labor,yes,160,,,
Turf Care,Lawn Overseeding,"Application of grass seed over existing turf to improve lawn density, fill bare spots, and support healthier growth.",2,sq ft,materials,yes,170,,,
Turf Care,Lawn Dethatching,"Removal of excessive thatch buildup from the lawn to improve air, water, and nutrient access to the soil.",2,sq ft,labor,yes,180,,,
Turf Care,Power Raking,"Mechanical raking service that removes dead grass, thatch, and buildup from turf to improve lawn recovery.",2,sq ft,labor,yes,190,,,
Turf Care,Lawn Fertilization,"Application of lawn fertilizer to provide essential nutrients and support greener, thicker, healthier turf.",2,sq ft,materials,yes,200,,,
Turf Care,Organic Fertilization,Organic-based lawn fertilization service designed to feed turf while supporting soil health and long-term lawn strength.,2,sq ft,materials,yes,210,,,
Turf Care,Weed Control,Targeted weed control service for lawns and landscape areas to reduce unwanted growth and improve curb appeal.,2,sq ft,materials,yes,220,,,
Turf Care,Pre-Emergent Weed Treatment,Preventive weed treatment applied before germination to help stop weeds before they become visible.,2,sq ft,materials,yes,230,,,
Turf Care,Post-Emergent Weed Treatment,Treatment of existing weeds in turf or landscape areas to reduce active weed growth and improve appearance.,2,sq ft,materials,yes,240,,,
Turf Care,Crabgrass Control,Specialized crabgrass prevention and treatment service to reduce invasive grassy weeds in lawn areas.,2,sq ft,labor,yes,250,,,
Turf Care,Moss Control,"Treatment and removal support for moss growth in turf areas where shade, moisture, or poor drainage are present.",2,sq ft,labor,yes,260,,,
Turf Care,Lawn Disease Treatment,"Assessment and treatment of lawn disease issues such as fungus, discoloration, thinning, or turf decline.",2,sq ft,labor,yes,270,,,
Turf Care,Lawn Pest Control,"Treatment of lawn-damaging pests that can weaken turf, create dead patches, or reduce overall lawn health.",2,sq ft,labor,yes,280,,,
Turf Care,Grub Treatment,Grub control service to protect lawns from root-feeding larvae that can cause brown patches and turf damage.,2,sq ft,labor,yes,290,,,
Turf Care,Lime Application,Application of lime to help balance soil pH and improve the lawn’s ability to absorb nutrients.,2,sq ft,materials,yes,300,,,
Turf Care,Soil Conditioning,"Soil improvement service using amendments to support healthier turf, better drainage, and stronger root growth.",2,sq ft,materials,yes,310,,,
Turf Care,Soil Testing,"Collection and review of soil conditions to identify pH, nutrient, and soil health needs before treatment.",2,sq ft,materials,yes,320,,,
Turf Care,Compost Top Dressing,"Application of compost over turf areas to improve soil quality, moisture retention, and lawn recovery.",2,sq ft,materials,yes,330,,,
Turf Care,Lawn Leveling,Leveling of uneven lawn areas with soil or topdressing to reduce low spots and improve surface smoothness.,2,sq ft,labor,yes,340,,,
Turf Care,Lawn Rolling,Rolling service for turf areas to help smooth minor bumps and improve lawn surface consistency.,2,sq ft,labor,yes,350,,,
Turf Care,Sod Removal,"Removal of existing sod or turf to prepare the area for new landscaping, grading, or lawn replacement.",2,sq ft,materials,yes,360,,,
Turf Care,Artificial Turf Repair,"Repair of damaged, lifted, or separated artificial turf areas to restore appearance and usability.",2,sq ft,labor,yes,370,,,
Turf Care,Turf Patch Repair,"Repair of bare, damaged, or worn lawn patches using seed, sod, or soil preparation as needed.",2,sq ft,labor,yes,380,,,
Turf Care,Turf Reseeding,"Reseeding of lawn areas to restore grass coverage, improve density, and address thin or damaged turf.",2,sq ft,materials,yes,390,,,
Turf Care,Hydroseeding,"Application of seed, mulch, and soil amendments as a sprayed mixture to establish new lawn growth.",2,sq ft,materials,yes,400,,,
Turf Care,Erosion Control Seeding,Seeding service for slopes or exposed soil areas to help reduce erosion and stabilize the surface.,2,service,materials,yes,410,,,
Turf Care,Lawn Watering Management,Watering schedule review and management to help lawns receive proper moisture without overwatering.,2,service,labor,yes,420,,,
Turf Care,Landscape Bed Maintenance,"Maintenance of planting beds, including weeding, cleanup, light pruning, and freshening of bed edges.",2,sq ft,labor,yes,430,,,
Turf Care,Bark Installation,"Delivery and installation of bark in landscape beds to improve appearance, moisture retention, and weed suppression.",2,sq ft,materials,yes,440,,,
Turf Care,Landscape Fabric Installation,"Installation of landscape fabric beneath bark, rock, or gravel to help reduce weed growth and stabilize beds.",2,sq ft,materials,yes,450,,,
Turf Care,Garden Bed Edging,Creation or cleanup of garden bed edges to separate lawn areas from planting beds and improve curb appeal.,2,ft,labor,yes,460,,,
Turf Care,Plant Installation,"Installation of landscape plants, including placement, soil preparation, planting, and initial cleanup.",2,job,materials,yes,470,,,
Turf Care,Flower Bed Installation,"Installation of flower beds, including layout, soil preparation, plant placement, and finishing materials.",2,job,service,yes,480,,,
Turf Care,Garden Cleanup,"Cleanup of garden beds, including removal of weeds, dead plants, leaves, and light debris.",2,sq ft,labor,yes,490,,,
Turf Care,Leaf Cleanup,"Removal and hauling of fallen leaves from lawns, beds, driveways, patios, and walkways.",2,sq ft,labor,yes,500,,,
Turf Care,Yard Cleanup,"General cleanup of outdoor areas, including debris removal, trimming, weed removal, and property freshening.",2,sq ft,labor,yes,510,,,
Turf Care,Weed Abatement,"Removal or treatment of excessive weeds to improve property appearance, access, and fire safety.",2,sq ft,materials,yes,520,,,
Turf Care,Drainage Improvement,"Landscape drainage improvements to redirect water, reduce pooling, and protect turf or planting areas.",2,sq ft,labor,yes,530,,,
Turf Care,Lawn Lighting Installation,"Installation of lighting around lawn areas, pathways, or landscape features to improve nighttime visibility.",2,sq ft,materials,yes,540,,,
Turf Care,Pet Area Maintenance,"Cleanup and maintenance of pet-use areas, including turf care, odor reduction, and surface cleanup.",2,sq ft,labor,yes,550,,,
Turf Care,Dog Run Installation,"Installation of dog run areas using turf, gravel, fencing, or groundcover suited for pet use.",2,sq ft,labor,yes,560,,,
Turf Care,Playground Turf Maintenance,"Maintenance of turf or groundcover around play areas to improve safety, cleanliness, and appearance.",2,sq ft,labor,yes,570,,,
Turf Care,HOA Landscape Maintenance,"Recurring landscape maintenance for HOA properties, including common areas, turf, beds, and cleanup.",2,sq ft,labor,yes,580,,,
Turf Care,Vacant Lot Maintenance,"Maintenance of vacant lots, including mowing, weed control, brush cleanup, and debris removal.",2,sq ft,labor,yes,590,,,
Turf Care,Estate Property Maintenance,"Comprehensive landscape maintenance for larger residential properties with turf, beds, trees, and seasonal needs.",2,sq ft,labor,yes,600,,,
Turf Care,Full Property Landscape Maintenance,"Complete landscape maintenance service covering lawn care, beds, pruning, cleanup, and seasonal property upkeep.",2,sq ft,labor,yes,610,,,
Turf Care,Tree Planting,"Planting of new trees, including soil preparation, placement, and installation.",2,each,materials,yes,620,,,
Turf Care,Garden Bed Installation,"Installation of planting beds, including soil preparation, edging, and planting.",2,sq ft,labor,yes,630,,,
Bed & Mulch,Mulch Application,"Application of mulch to garden beds, including delivery and spreading.",2,sq ft,materials,yes,10,,,
Bed & Mulch,Spring Cleanup,"Seasonal cleanup after winter, including leaf removal, bed cleanup, trimming, and general property freshening.",2,sq ft,labor,yes,20,,,
Bed & Mulch,Drip Irrigation Installation,"Installation of drip irrigation lines for efficient watering of beds, shrubs, trees, and planting areas.",2,job,service,yes,30,,,
Bed & Mulch,Mulch Installation,"Application of mulch to garden and planting beds, including delivery, spreading, and cleanup.",2,sq ft,materials,yes,40,,,
Bed & Mulch,Decorative Rock Installation,"Installation of decorative rock in landscape beds, borders, or low-maintenance areas for a finished look.",2,sq ft,labor,yes,50,,,
Bed & Mulch,Perennial Planting,Planting of perennial flowers and plants that return each year and support long-term landscape color.,2,service,materials,yes,60,,,
Bed & Mulch,Annual Flower Installation,"Seasonal installation of annual flowers for fresh color in beds, containers, and entry areas.",2,job,service,yes,70,,,
Bed & Mulch,Tree Ring Mulching,"Mulch installation around trees to improve appearance, protect roots, and reduce mower damage near trunks.",2,service,materials,yes,80,,,
Bed & Mulch,Fall Cleanup,"Seasonal cleanup of leaves, plant debris, spent annuals, and landscape beds before winter.",2,sq ft,labor,yes,90,,,
Bed & Mulch,Ivy Removal,"Removal of invasive ivy from landscape beds, trees, walls, fences, and groundcover areas.",2,sq ft,labor,yes,100,,,
Bed & Mulch,Slope Stabilization,"Landscape stabilization work for slopes using plants, groundcover, mulch, or erosion-control materials.",2,sq ft,labor,yes,110,,,
Bed & Mulch,Dry Creek Bed Installation,Installation of decorative drainage channels using rock to manage runoff and improve landscape appearance.,2,sq ft,labor,yes,120,,,
Bed & Mulch,Retaining Wall Landscaping,"Landscape improvements around retaining walls, including planting, cleanup, rock, bark, and drainage support.",2,sq ft,labor,yes,130,,,
Bed & Mulch,Patio Border Landscaping,"Installation or cleanup of landscape borders around patios using plants, bark, rock, or edging materials.",2,sq ft,labor,yes,140,,,
Bed & Mulch,Seasonal Color Rotation,Replacement and installation of seasonal flowers and plants to keep landscape beds fresh throughout the year.,2,sq ft,labor,yes,150,,,
Shrubs & Hedges,Shrub Trimming,"Trimming and shaping of shrubs to maintain size, improve appearance, and prevent overgrowth.",2,service,labor,yes,10,,,
Shrubs & Hedges,Hedge Trimming,"Uniform trimming of hedges to maintain clean lines, proper height, and a professional landscape appearance.",2,service,labor,yes,20,,,
Shrubs & Hedges,Seasonal Pruning,"Pruning of shrubs, small trees, and landscape plants during the appropriate season for healthy growth.",2,service,labor,yes,30,,,
Shrubs & Hedges,Privacy Hedge Installation,"Planting of hedge rows or screening plants to create privacy, define boundaries, and soften property edges.",2,job,service,yes,40,,,
Shrubs & Hedges,Shrub Installation,Installation of shrubs and ornamental plants for landscape enhancement and privacy.,2,job,service,yes,50,,,
Trees,Tree Trimming,Trimming of trees including elevation of limbs and removal of dead branches.,2,service,labor,yes,10,,,
Trees,Brush Cleanup,"Removal of brush, small vegetation, and overgrowth from yard areas, fence lines, or property edges.",2,sq ft,labor,yes,20,,,
Trees,Tree Removal,"Removal of hazardous, dead, or unwanted trees, including cleanup and debris hauling.",2,sq ft,labor,yes,30,,,
Trees,Stump Grinding,Grinding and removal of tree stumps below grade level.,2,sq ft,labor,yes,40,,,
Trees,Brush Removal,"Removal of brush, overgrowth, and unwanted vegetation from property areas.",2,sq ft,labor,yes,50,,,
Trees,Hazard Tree Assessment,Inspection and assessment of trees that may pose a safety risk to structures or people.,2,sq ft,service,yes,60,,,
Trees,Emergency Tree Service,Emergency tree removal and storm response services for fallen or hazardous trees.,2,sq ft,labor,yes,70,,,
Trees,Christmas Light Installation,"Installation of holiday and Christmas lighting on homes, trees, and commercial buildings.",2,sq ft,labor,yes,80,,,
Trees,Tree Wrapping,Wrapping of trees with decorative holiday lighting for seasonal displays.,2,sq ft,labor,yes,90,,,
Cleanup & Haul,Storm Debris Cleanup,"Cleanup of branches, leaves, and landscape debris after storms to restore safety and appearance.",2,sq ft,labor,yes,10,,,
Cleanup & Haul,Hillside Maintenance,"Maintenance of sloped landscape areas, including vegetation control, cleanup, and erosion-conscious care.",2,sq ft,labor,yes,20,,,
Cleanup & Haul,Pathway Landscaping,"Landscape installation or cleanup along pathways to improve access, appearance, and surrounding plantings.",2,sq ft,labor,yes,30,,,
Cleanup & Haul,Roof Cleaning,"Removal of moss, algae, debris, and buildup from roof surfaces using professional cleaning methods.",2,sq ft,labor,yes,40,,,
Cleanup & Haul,Gutter Cleaning,"Cleaning of gutters and downspouts to remove leaves, debris, and blockages.",2,sq ft,labor,yes,50,,,
Cleanup & Haul,Gutter Guard Installation,Installation of gutter guard systems to help reduce debris buildup and maintenance.,2,sq ft,labor,yes,60,,,
Cleanup & Haul,Parking Lot Sweeping,"Sweeping and cleanup of parking lots to remove debris, litter, and dirt buildup.",2,sq ft,labor,yes,70,,,
Cleanup & Haul,Construction Cleanup,"Cleanup of exterior construction debris, materials, and jobsite waste.",2,sq ft,labor,yes,80,,,
Pressure Washing & Exterior,Catch Basin Cleaning,Cleaning of catch basins and drain inlets to improve water flow and reduce flooding risk.,2,sq ft,labor,yes,10,,,
Pressure Washing & Exterior,Driveway Pressure Washing,"Pressure washing of driveways to remove dirt, algae, oil stains, and surface buildup.",2,sq ft,labor,yes,20,,,
Pressure Washing & Exterior,Patio Pressure Washing,Cleaning of patio surfaces using professional pressure washing equipment.,2,sq ft,labor,yes,30,,,
Pressure Washing & Exterior,Deck Pressure Washing,Pressure washing of wood and composite decks to remove buildup and restore appearance.,2,sq ft,labor,yes,40,,,
Pressure Washing & Exterior,House Soft Washing,"Low-pressure exterior washing service for siding, trim, and delicate exterior surfaces.",2,sq ft,labor,yes,50,,,
Pressure Washing & Exterior,Deck Staining,Application of stain to wood decks to improve appearance and weather protection.,2,sq ft,labor,yes,60,,,
Pressure Washing & Exterior,Deck Repair,"Repair of damaged deck boards, framing, stairs, and railings.",2,sq ft,labor,yes,70,,,
Pressure Washing & Exterior,Fence Staining,Staining and sealing of fences to improve appearance and protect wood surfaces.,2,sq ft,labor,yes,80,,,
Pressure Washing & Exterior,Roofline Lighting,Installation of roofline lighting and seasonal accent lighting.,2,sq ft,materials,yes,90,,,
Pressure Washing & Exterior,Pathway Lighting,Installation of pathway and walkway lighting for safety and appearance.,2,sq ft,materials,yes,100,,,
Pressure Washing & Exterior,Permanent Lighting Installation,Installation of permanent exterior lighting systems for year-round use.,2,sq ft,materials,yes,110,,,
Pressure Washing & Exterior,Solar Panel Cleaning,Cleaning of solar panels to improve energy efficiency and performance.,2,job,service,yes,120,,,
Pressure Washing & Exterior,Exterior Window Washing,"Professional cleaning of exterior windows, frames, and glass surfaces.",2,service,labor,yes,130,,,
Pressure Washing & Exterior,Boat Dock Cleaning,"Cleaning of docks, piers, and waterfront structures to remove algae and buildup.",2,job,service,yes,140,,,
Hardscape & Drainage,Pavers Installation,"Installation of pavers for walkways, patios, and driveways, including materials and labor.",2,sq ft,materials,yes,10,,,
Hardscape & Drainage,Concrete Work,"Installation of concrete walkways, steps, and entrances, including materials and labor.",2,sq ft,materials,yes,20,,,
Hardscape & Drainage,French Drain Installation,Installation of gravel-lined drainage systems to collect and redirect water away from problem areas.,2,sq ft,labor,yes,30,,,
Hardscape & Drainage,Concrete Sealing,Application of concrete sealant to help protect surfaces from staining and weather exposure.,2,sq ft,materials,yes,40,,,
Hardscape & Drainage,Retaining Wall Installation,"Construction of retaining walls for slope support, erosion control, and landscape design.",2,sq ft,labor,yes,50,,,
Hardscape & Drainage,Paver Patio Installation,"Installation of paver patios, including base preparation, pavers, and finishing materials.",2,sq ft,materials,yes,60,,,
Hardscape & Drainage,Walkway Installation,"Installation of walkways using pavers, concrete, stone, or other hardscape materials.",2,sq ft,labor,yes,70,,,
Hardscape & Drainage,Outdoor Fire Pit Installation,Installation of outdoor fire pits and seating areas for residential outdoor living spaces.,2,job,service,yes,80,,,
Irrigation,Landscaping Design and Installation,"Full-service landscaping design and installation, including plants, hardscapes, and irrigation.",2,service,service,yes,10,,,
Irrigation,Winterization Services,"Winterization of irrigation systems, including system blowout and backflow testing.",2,sq ft,labor,yes,20,,,
Irrigation,Irrigation Inspection,"Inspection of irrigation zones, sprinkler heads, valves, and coverage to identify repairs or performance issues.",2,service,labor,yes,30,,,
Irrigation,Sprinkler Repair,Repair of broken or malfunctioning sprinkler components to restore proper irrigation system operation.,2,job,service,yes,40,,,
Irrigation,Sprinkler Head Replacement,"Replacement of damaged, clogged, or inefficient sprinkler heads to improve watering coverage and performance.",2,service,labor,yes,50,,,
Irrigation,Sprinkler Valve Repair,Repair or replacement of irrigation valves that control water flow to sprinkler zones.,2,job,materials,yes,60,,,
Irrigation,Irrigation Blowout,Compressed-air blowout of irrigation lines to remove water and help prevent freeze damage.,2,service,labor,yes,70,,,
Irrigation,Irrigation Startup,"Seasonal startup of irrigation systems, including inspection, testing, and adjustment of sprinkler zones.",2,service,labor,yes,80,,,
Irrigation,Irrigation Winterization,"Winterization of irrigation systems to protect pipes, valves, and backflow components from freezing.",2,service,labor,yes,90,,,
Irrigation,Smart Irrigation Upgrades,Upgrade of irrigation controls with smart timers or sensors to improve watering efficiency and scheduling.,2,service,labor,yes,100,,,
Irrigation,Landscape Installation,"Full-service landscape installation including plants, hardscapes, irrigation, and finishing work.",2,sq ft,labor,yes,110,,,
Commercial Maintenance,Commercial Landscape Maintenance,"Scheduled commercial landscape maintenance for business properties, storefronts, offices, and shared grounds.",2,service,service,yes,10,,,
Commercial Maintenance,Commercial Groundskeeping,Ongoing landscape maintenance services for commercial and HOA properties.,2,sq ft,labor,yes,20,,,
Seasonal Enhancements,Native Plant Installation,Installation of native plants suited to local conditions for lower maintenance and improved landscape resilience.,2,job,materials,yes,10,,,
Seasonal Enhancements,Outdoor Lighting Installation,"Installation of outdoor landscape lighting to highlight features, improve visibility, and enhance curb appeal.",2,sq ft,materials,yes,20,,,
Seasonal Enhancements,Landscape Lighting Maintenance,"Maintenance of landscape lighting systems, including fixture adjustment, bulb replacement, and troubleshooting.",2,sq ft,materials,yes,30,,,
Seasonal Enhancements,Landscape Lighting Installation,"Installation of outdoor lighting systems for pathways, landscaping, and exterior features.",2,job,materials,yes,40,,,
Seasonal Enhancements,Pond Installation,"Installation of decorative ponds and water features, including excavation and liner setup.",2,job,service,yes,50,,,
